Team,Year,Points,PPG,Score Margin,Wins,Win %,Reg. Finishing Position,Finishing Position
Alexander,2019,1395.0,116.25,17.166666666666668,8,66.66666666666666,2,2
Alexander,2020,1705.1,131.16153846153844,-13.276923076923083,5,38.46153846153847,9,7
Alexander,2021,1739.5,124.25,-0.4285714285714291,6,42.857142857142854,7,9
Alexander,2022,1764.25,117.61666666666666,-7.429999999999997,5,33.33333333333333,9,8
Alexander,2023,1531.1,139.1909090909091,7.509090909090912,6,54.54545454545454,3,1
Alexander,2024,1624.6,124.96923076923076,-13.092307692307692,6,46.15384615384615,6,8
Cody,2017,1435.0,110.38461538461539,-13.076923076923077,4,30.76923076923077,8,8
Cody,2018,1357.0,113.08333333333333,-18.5,3,25.0,7,8
Cody,2019,1393.0,116.08333333333333,2.5,6,50.0,6,8
Cody,2020,1971.3,151.63846153846154,12.653846153846152,6,46.15384615384615,5,5
Cody,2021,1884.9,134.6357142857143,7.7928571428571445,10,71.42857142857143,1,3
Cody,2022,2061.0,137.4,10.006666666666668,9,60.0,1,4
Cody,2023,1405.3,127.75454545454545,-2.2636363636363614,6,54.54545454545454,5,5
Cody,2024,1721.4,132.41538461538462,3.3538461538461544,6,46.15384615384615,5,6
Dylan,2017,1684.0,129.53846153846155,13.846153846153847,9,69.23076923076923,1,1
Dylan,2018,1626.0,135.5,12.5,6,50.0,5,7
Dylan,2019,1512.0,126.0,6.75,7,58.333333333333336,3,3
Dylan,2020,1866.5,143.57692307692307,21.46923076923077,10,76.92307692307693,1,4
Dylan,2021,1768.3,126.30714285714285,0.16428571428571356,5,35.714285714285715,9,10
Dylan,2022,1896.75,126.45,-1.7100000000000004,8,53.333333333333336,7,6
Dylan,2023,1437.8,130.70909090909092,-11.009090909090904,4,36.36363636363637,9,10
Dylan,2024,1800.3999999999999,138.4923076923077,-6.592307692307694,5,38.46153846153847,7,5
Evan,2019,1310.0,109.16666666666667,-11.75,4,33.33333333333333,10,9
Evan,2020,1709.4,131.4923076923077,-5.623076923076919,6,46.15384615384615,6,6
Evan,2021,1871.2,133.65714285714287,0.4785714285714308,8,57.14285714285714,4,2
Evan,2022,1648.3,109.88666666666667,-21.723333333333336,4,26.666666666666668,10,9
Evan,2023,1412.3,128.39090909090908,3.090909090909091,5,45.45454545454545,7,8
Evan,2024,1862.9,143.3,11.623076923076923,9,69.23076923076923,2,1
Gavin,2017,1554.0,119.53846153846153,4.615384615384615,7,53.84615384615385,2,4
Gavin,2018,1584.0,132.0,4.666666666666667,7,58.333333333333336,3,4
Gavin,2019,1533.0,127.75,12.0,8,66.66666666666666,1,1
Gavin,2020,1742.4,134.03076923076924,-3.13076923076923,5,38.46153846153847,8,8
Gavin,2021,1995.9,142.56428571428572,11.835714285714287,8,57.14285714285714,3,1
Gavin,2022,1925.8,128.38666666666666,4.316666666666666,9,60.0,2,3
Gavin,2023,1543.2,140.29090909090908,4.672727272727269,5,45.45454545454545,8,6
Gavin,2024,1689.3,129.94615384615383,4.715384615384614,9,69.23076923076923,3,4
Hayden,2017,1491.0,114.6923076923077,1.9230769230769231,7,53.84615384615385,4,3
Hayden,2018,1424.0,118.66666666666667,-6.583333333333333,3,25.0,6,6
Hayden,2019,1361.0,113.41666666666667,-5.416666666666667,5,41.66666666666667,8,5
Hayden,2020,1817.5,139.80769230769232,-5.284615384615387,7,53.84615384615385,3,3
Hayden,2021,1741.4,124.38571428571429,-5.857142857142856,6,42.857142857142854,6,6
Hayden,2022,1808.95,120.59666666666666,-3.403333333333336,9,60.0,5,5
Hayden,2023,1561.9,141.9909090909091,10.372727272727275,6,54.54545454545454,1,4
Hayden,2024,1726.1,132.77692307692308,-2.738461538461536,5,38.46153846153847,8,10
Luca,2017,1552.0,119.38461538461539,-0.8461538461538461,7,53.84615384615385,3,2
Luca,2018,1858.0,154.83333333333334,31.833333333333332,10,83.33333333333334,1,1
Luca,2019,1423.0,118.58333333333333,-1.1666666666666667,5,41.66666666666667,7,10
Luca,2020,1747.8,134.44615384615383,-0.6076923076923071,8,61.53846153846154,2,2
Luca,2021,1733.1,123.79285714285713,-10.250000000000002,5,35.714285714285715,10,7
Luca,2022,1901.9,126.79333333333334,5.583333333333337,9,60.0,3,1
Luca,2023,1477.5,134.3181818181818,1.8090909090909084,6,54.54545454545454,4,2
Luca,2024,1619.9,124.60769230769232,-19.930769230769222,4,30.76923076923077,10,9
Matt,2017,1398.0,107.53846153846153,-6.769230769230769,6,46.15384615384615,6,5
Matt,2018,1791.0,149.25,28.333333333333332,10,83.33333333333334,2,2
Matt,2019,1416.0,118.0,-9.0,6,50.0,5,6
Matt,2020,1809.4,139.1846153846154,5.446153846153847,7,53.84615384615385,4,1
Matt,2021,1634.5,116.75,-10.178571428571429,6,42.857142857142854,8,8
Matt,2022,1863.6,124.24,13.909999999999998,9,60.0,4,2
Matt,2023,1545.0,140.45454545454547,3.090909090909092,6,54.54545454545454,2,3
Matt,2024,1948.3,149.86923076923077,23.51538461538462,9,69.23076923076923,1,3
Nate,2017,1454.0,111.84615384615384,1.3846153846153846,6,46.15384615384615,5,7
Nate,2018,1479.0,123.25,-8.833333333333334,7,58.333333333333336,4,3
Nate,2019,1337.0,111.41666666666667,-5.833333333333333,6,50.0,4,4
Nate,2020,1636.5,125.88461538461539,-19.03076923076923,5,38.46153846153847,10,9
Nate,2021,1682.3999999999999,120.17142857142856,-5.928571428571431,7,50.0,5,5
Nate,2022,1842.25,122.81666666666666,-5.626666666666665,5,33.33333333333333,8,10
Nate,2023,1399.0,127.18181818181819,-3.7454545454545483,6,54.54545454545454,6,7
Nate,2024,1693.2,130.24615384615385,-4.792307692307697,5,38.46153846153847,9,7
Zachary,2017,1398.0,107.53846153846153,-1.0769230769230769,5,38.46153846153847,7,6
Zachary,2018,1300.0,108.33333333333333,-43.416666666666664,1,8.333333333333332,8,5
Zachary,2019,1561.0,130.08333333333334,-5.25,4,33.33333333333333,9,7
Zachary,2020,1884.3,144.94615384615383,7.384615384615388,5,38.46153846153847,7,10
Zachary,2021,1857.4,132.67142857142858,12.371428571428572,9,64.28571428571429,2,4
Zachary,2022,1906.1,127.07333333333332,6.076666666666665,8,53.333333333333336,6,7
Zachary,2023,1331.0,121.0,-13.527272727272733,4,36.36363636363637,10,9
Zachary,2024,1714.8,131.90769230769232,3.9384615384615365,7,53.84615384615385,4,2
